state_ut,district,year,murder,rape,robbery,theft,riots,cheating,dowry_deaths
MEGHALAYA,JAINTIA HILLS,2007,43,26,7,56,0,6,0
MEGHALAYA,KHASI HILLS EAST,2007,21,32,30,270,3,136,2
MEGHALAYA,KHASI HILLS WEST,2007,16,8,3,20,2,5,0
MEGHALAYA,RI-BHOI,2007,10,7,6,53,2,3,0
MIZORAM,AIZAWL,2007,18,35,3,464,1,42,0
MIZORAM,CHAMPHAI,2007,5,12,0,65,0,8,0
MIZORAM,KOLASIB,2007,9,12,1,83,0,3,0
MIZORAM,LAWNGTLAI,2007,5,3,0,27,0,3,0
MIZORAM,LUNGLEI,2007,2,9,1,90,0,6,0
MIZORAM,MAMIT,2007,1,1,0,24,0,1,0
MIZORAM,SAIHA,2007,2,3,0,29,0,0,0
MIZORAM,SERCHHIP,2007,1,8,0,26,0,3,0
NAGALAND,DIMAPUR,2007,30,5,49,209,1,15,0
NAGALAND,KIPHIRE,2007,3,0,0,2,0,1,0
NAGALAND,KOHIMA,2007,24,4,18,63,0,10,0
NAGALAND,LONGLENG,2007,1,0,0,0,0,1,0
NAGALAND,MOKOKCHUNG,2007,17,1,2,13,3,1,0
NAGALAND,MON,2007,9,0,2,10,0,4,0
NAGALAND,PEREN,2007,3,0,1,8,0,0,0
NAGALAND,PHEK,2007,5,0,2,8,2,0,0
NAGALAND,TUENSANG,2007,7,0,0,9,6,1,0
NAGALAND,WOKHA,2007,8,3,1,23,2,1,0
